"Genotype","Replicate","Environment","Trait","ReactionNorm","BaseShift","Slope","VarianceOffset","VarianceSlope","Covariance"
1,0,1,24.3103218797215,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,1.18367346938776,24.3448698059943,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,1.36734693877551,24.388435856039,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,1.55102040816327,24.4425066740549,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,1.73469387755102,24.508538535626,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,1.91836734693878,24.5878595477165,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,2.10204081632653,24.6815535372611,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,2.28571428571429,24.79033104389,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,2.46938775510204,24.9143956401355,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,2.6530612244898,25.0533163602492,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,2.83673469387755,25.2059189228017,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,3.02040816326531,25.3702092771465,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,3.20408163265306,25.5433424473954,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,3.38775510204082,25.7216474792348,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,3.57142857142857,25.9007154958082,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,3.75510204081633,26.0755526503339,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,3.93877551020408,26.2407935726457,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,4.12244897959184,26.3909643951173,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,4.30612244897959,26.5207783919202,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,4.48979591836735,26.6254424828808,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,4.6734693877551,26.7009500547769,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,4.85714285714286,26.7443352438556,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,5.04081632653061,26.7538662056758,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,5.22448979591837,26.7291598208603,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,5.40816326530612,26.6712072477594,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,5.59183673469388,26.5823079466753,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,5.77551020408163,26.4659182965884,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,5.95918367346939,26.3264286947272,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,6.14285714285714,26.1688891673603,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,6.3265306122449,25.9987073554968,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,6.51020408163265,25.8213439224585,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,6.69387755102041,25.6420289701682,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,6.87755102040816,25.4655192932988,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,7.06122448979592,25.2959108571142,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,7.24489795918367,25.1365145278829,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,7.42857142857143,24.9897966249954,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
1,0,7.61224489795918,24.8573800359003,"Gaussian",24.2064489331096,0.637066549854353,NA,NA,NA
