"Genotype","Replicate","Environment","Trait","ReactionNorm","BaseShift","Slope","VarianceOffset","VarianceSlope","Covariance"
1,0,1,11.2700894000311,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,1.18367346938776,11.2311325658576,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,1.36734693877551,11.1820067406551,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,1.55102040816327,11.1210355589282,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,1.73469387755102,11.0465768993526,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,1.91836734693878,10.957133165738,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,2.10204081632653,10.8514822162449,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,2.28571428571429,10.7288228342003,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,2.46938775510204,10.5889254677255,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,2.6530612244898,10.4322760811894,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,2.83673469387755,10.2601988144713,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,3.02040816326531,10.0749421932788,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,3.20408163265306,9.87971426121549,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,3.38775510204082,9.67865444932379,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,3.57142857142857,9.47673428276047,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,3.75510204081633,9.27958490880283,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,3.93877551020408,9.09325641086818,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,4.12244897959184,8.9239212159704,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,4.30612244897959,8.77754072682288,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,4.48979591836735,8.65951970283229,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,4.6734693877551,8.57437606978273,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,4.85714285714286,8.52545418650735,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,5.04081632653061,8.5147069104998,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,5.22448979591837,8.54256625374031,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,5.40816326530612,8.6079145690745,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,5.59183673469388,8.70815894562901,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,5.77551020408163,8.83940191118765,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,5.95918367346939,8.99669277853866,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,6.14285714285714,9.17433705145208,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,6.3265306122449,9.36623698118316,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
1,0,6.51020408163265,9.56623503011803,"Gaussian",11.3872183160856,-0.71836716751568,NA,NA,NA
